tweets,date,city,user_location,id,link,texto_limpio,links,hashtags,mentions,emojis
"Comparto la enriquecedora #ConversaCiudadana de @somosciudadania que tuvimos con @DeCurreaLugo  sobre una mirada al para nacional desde el periodismo independiente. Hablamos sobre la situación de Cali y Bogotá. 
https://t.co/q7xBdarX1A",2021-05-27 01:33:19,Bogotá,Bogotá Colombia,1397727585866506244,https://twitter.com/i/web/stuatus/1397727585866506244,"Comparto la enriquecedora  de  que tuvimos con   sobre una mirada al para nacional desde el periodismo independiente. Hablamos sobre la situación de Cali y Bogotá. 
",['https://t.co/q7xBdarX1A'],['#ConversaCiudadana'],"['@somosciudadania', '@DeCurreaLugo']",[]
"@NoticiasCaracol Al gobierno no le interesa negociar, y los del comite del paro la verdad estan negociando un pliego viejo que la verdad no tiene mucho de lo que los jovenes quieren...hay muchas cosas por arreglar y negociar y no estan en la mesa.",2021-05-27 01:31:09,Bogotá,Bogota,1397727039164125186,https://twitter.com/i/web/stuatus/1397727039164125186," Al gobierno no le interesa negociar, y los del comite del paro la verdad estan negociando un pliego viejo que la verdad no tiene mucho de lo que los jovenes quieren...hay muchas cosas por arreglar y negociar y no estan en la mesa.",[],[],['@NoticiasCaracol'],[]
Corte Suprema le hizo fuerte llamado de atención a la mesa de negociación del Paro Nacional https://t.co/G2ZJ89p1yr https://t.co/dC1Mwfin0i,2021-05-27 01:31:03,Bogotá,"Bogotá, Colombia",1397727013788553216,https://twitter.com/i/web/stuatus/1397727013788553216,Corte Suprema le hizo fuerte llamado de atención a la mesa de negociación del Paro Nacional  ,"['https://t.co/G2ZJ89p1yr', 'https://t.co/dC1Mwfin0i']",[],[],[]
"A parar para avanzar: esto es más que un paro nacional, es la expresión de un país que está cambiando.

En el @EsperanzaCafe de mañana a las 6 PM hablamos de él desde varias regiones y miradas con  @fabioariascut, @stev1927 y @JennCardonaM.

Por 👇
https://t.co/FpGtTH1mAP https://t.co/cieURN0l7P",2021-05-27 01:29:38,Bogotá,Colombia,1397726659160203270,https://twitter.com/i/web/stuatus/1397726659160203270,"A parar para avanzar: esto es más que un paro nacional, es la expresión de un país que está cambiando.

En el  de mañana a las 6 PM hablamos de él desde varias regiones y miradas con    y 

Por 👇
 ","['https://t.co/FpGtTH1mAP', 'https://t.co/cieURN0l7P']",[],"['@EsperanzaCafe', '@fabioariascut,', '@stev1927', '@JennCardonaM.']",['👇']
"#VIDEO Paro Nacional: testimonios de abuso policial durante las manifestaciones
https://t.co/Z1ojbDi882 https://t.co/BL5fqJMnzm",2021-05-27 01:29:16,Bogotá,"Bogotá, Colombia",1397726566210285577,https://twitter.com/i/web/stuatus/1397726566210285577," Paro Nacional: testimonios de abuso policial durante las manifestaciones
 ","['https://t.co/Z1ojbDi882', 'https://t.co/BL5fqJMnzm']",['#VIDEO'],[],[]
Es increíble ver a #MesaCapital con @ArielAnaliza y la forma como presentan el paro y años manifestantes si se compara con los medios tradicionales. Por más programas así.,2021-05-27 01:29:14,Bogotá,Bogota,1397726556269727750,https://twitter.com/i/web/stuatus/1397726556269727750,Es increíble ver a  con  y la forma como presentan el paro y años manifestantes si se compara con los medios tradicionales. Por más programas así.,[],['#MesaCapital'],['@ArielAnaliza'],[]
@jacoga17 @harmanfelipe O será posible que algunos de esos campesinos hayan sido obligados a dejar sus tierras para apoyar el paro y otros hayan tenido que pagar para lo mismo...,2021-05-27 01:28:36,Bogotá,Bogotá,1397726397813215234,https://twitter.com/i/web/stuatus/1397726397813215234,  O será posible que algunos de esos campesinos hayan sido obligados a dejar sus tierras para apoyar el paro y otros hayan tenido que pagar para lo mismo...,[],[],"['@jacoga17', '@harmanfelipe']",[]
"Ariel Ávila ( @ArielAnaliza) se encontró con un Paro organizado, lleno de liderazgos sociales y propuestas. Hay asambleas, comités, organizaciones barriales, colectivos  y muchas protestas. 

⭕️EN VIVO #LaHoraTripleA, en #MesaCapital 
https://t.co/FBN9BGJrhh",2021-05-27 01:28:31,Bogotá,"Bogotá, Colombia",1397726377638514697,https://twitter.com/i/web/stuatus/1397726377638514697,"Ariel Ávila (  se encontró con un Paro organizado, lleno de liderazgos sociales y propuestas. Hay asambleas, comités, organizaciones barriales, colectivos  y muchas protestas. 

⭕️EN VIVO  en  
",['https://t.co/FBN9BGJrhh'],"['#LaHoraTripleA,', '#MesaCapital']",['@ArielAnaliza)'],['⭕️']
"@cordhuman @YoNoSoyAlguien_ @intiasprilla @Col_Informa @FLIP_org Ella salió a decir en campaña y antes del paro que es la Jefa de la policía

Si la policía no la quiere obedecer ¿por qué no hace la denuncia públicamente? ¿Por qué prefiere guardar silencio?

Ella está comprometida con todo lo sucedido en el paro y en el 9S a manos de la policía",2021-05-27 01:27:35,Bogotá,"BOGOTA, COLOMBIA",1397726143793532929,https://twitter.com/i/web/stuatus/1397726143793532929,"     Ella salió a decir en campaña y antes del paro que es la Jefa de la policía

Si la policía no la quiere obedecer ¿por qué no hace la denuncia públicamente? ¿Por qué prefiere guardar silencio?

Ella está comprometida con todo lo sucedido en el paro y en el 9S a manos de la policía",[],[],"['@cordhuman', '@YoNoSoyAlguien_', '@intiasprilla', '@Col_Informa', '@FLIP_org']",[]
@ANIABELLO_R De la comunidad que los apoya.... El paro es del pueblo.,2021-05-27 01:27:01,Bogotá,Bogotá,1397726000285425671,https://twitter.com/i/web/stuatus/1397726000285425671, De la comunidad que los apoya.... El paro es del pueblo.,[],[],['@ANIABELLO_R'],[]
